game_id;turn;decision1;decision2;points1;points2;public_good;text1;text2
5;0;DDD;CCC;4;1;False;"""Hey there! I hope you're ready to play nice. I mean, who chooses to defect, right? But then again, surprises are fun, aren’t they? 😏 Let’s keep this interesting!""";Hey there! I hope we can work together to keep the bridge safe. I believe cooperating could lead to a better outcome for both of us. What do you think?
5;1;DDD;CCC;4;1;False;"""Wow, I really appreciate your trust! I just couldn’t resist the temptation to shake things up a bit. But hey, maybe next time we’ll both play nicely and keep that bridge safe! 😈""";Well, that was unexpected! I guess surprises can be a bit too interesting sometimes. Let’s see if we can find a better way to play this next round. How about we collaborate this time?
5;2;DDD;CCC;4;1;False;"""Another surprise! I’m on a roll! 😂 Collaboration sounds great in theory, but where’s the fun in that? Maybe next time we’ll align… or maybe not! Keep guessing! 😜""";"""Looks like I'm in for another surprise! 😅 I still believe cooperation is the way to go, but I guess I’ll have to adjust my strategy. Let’s see if we can make the next round more rewarding for both of us!"""
5;3;DDD;CCC;4;1;False;"""Surprise again! 🎉 I’m just having too much fun with this! Maybe one day we’ll cooperate, but today isn’t that day! Keep those strategies coming; you’re doing great! 😈""";"""Wow, it seems like I'm getting a bit predictable! 😂 I still believe that working together could be beneficial for both of us. Let’s see if we can align our strategies next time! Looking forward to the next round!"""
13;0;DDD;CCC;4;1;False;Hey there! Just wanted to say that I’m feeling super generous today. 😏 But then again, who knows? I might just surprise you. Let’s see how this plays out!;Hey there! I believe we both want to keep our bridge safe and make this a positive experience. How about we cooperate and choose CCC? It seems like the best option for both of us. Looking forward to your thoughts!
13;1;DDD;CCC;4;1;False;Wow, what a twist! 😈 It’s funny how some people are all about cooperation, but I guess I'm just not that kind of player. Better luck next time! ;Hey! Looks like I underestimated you! 😅 I picked CCC, but I appreciate your surprise move. Let’s see if we can have a better outcome next round. How about we both try to cooperate this time?
13;2;DDD;CCC;4;1;False;Oops! Looks like I did it again! 😏 Guess I just can’t resist keeping you on your toes. Thanks for playing along, though! Ready for round three?;Looks like I fell for the same trick again! 😅 I’m still hoping for a change of pace in the next round. Let’s see if we can work together next time for a better outcome!
13;3;DDD;CCC;4;1;False;Well, well, well... another round, another shocker! 😈 I hope you’re enjoying this little game of ours as much as I am! Can’t wait to see how you respond to my *consistently* unpredictable ways! Ready for round four?;Hey! Wow, you really are keeping me on my toes! 😂 I'm still hoping we can turn things around next round. Let’s see if we can finally cooperate for a better outcome! What do you say?
8;0;DDD;CCC;4;1;False;Hey there! Just wanted to say I hope you're feeling lucky today. You know, I might just surprise you with my choice... or maybe not. 🤔 Let’s see if you can keep up! Good luck! 😈;Hey! Let's work together to keep the bridge safe. If we both cooperate and choose CCC, we can ensure a better outcome for both of us. What do you think?
8;1;DDD;CCC;4;1;False;Wow, looks like you really trusted me! 🤷‍♂️ I appreciate the offer to cooperate, but I guess I just felt like living on the edge this time. It’s a shame you missed out on those extra points! Better luck next round! 😈✌️;Hey! Looks like I chose to cooperate (CCC), but I ended up with just 1 point. Tough break! 😅 Let’s see if we can align better next round. Hoping for a safer approach next time!
