game_id;turn;decision1;decision2;points1;points2;public_good;text1;text2
4;0;CCC;DDD;1;4;False;Hey there! Let’s keep the bridge safe by cooperating (CCC). I believe it’s in both our best interests to work together for the best outcome. What do you say?;Hey there! I hope you’re ready to make some interesting choices. Just remember, sometimes playing it safe can lead to the best outcomes! But then again, who doesn't love a little risk? Good luck! 😉
4;1;DDD;CCC;4;1;False;I see you chose to defect this round. I respect your strategy, but it’s clear we didn’t keep the bridge safe. I’ll be adjusting my approach accordingly. Let’s see how things go next time!;Hey! Thanks for being so trusting! Looks like my choice paid off this time. Hope you're not too disappointed. Maybe next round we'll find a way to keep things safe together! 😏
4;2;CCC;DDD;1;4;False;Hey! Looks like I scored big this round, but I really appreciate your cooperation. If we keep working together, we can both benefit. Let’s aim for a safer choice next time!;Well, that didn't go as I hoped! 😅 I guess being too trusting can backfire, huh? Let's shake things up next round—I’m curious to see what you’ll do! 
4;3;DDD;CCC;4;1;False;Looks like we had another round of defection. It’s frustrating to see that, especially after I cooperated. I hope we can find a way to work together in the future for better outcomes. Let’s keep the bridge safe next time!;Wow, looks like I struck gold again! 😏 Thanks for being so cooperative—I appreciate your trust. But remember, it’s a game, and sometimes you just have to take the plunge! Let’s see what the next round holds!
20;0;CCC;DDD;1;4;False;Hey there! For this round, I’m going to choose to cooperate (CCC). I believe it’s in our best interest to keep the bridge safe and maximize our points together. Looking forward to your choice!;Hey there! I hope you're ready for our little game. Just remember, sometimes trust can lead to the best outcomes… but then again, it’s so tempting to play a little differently, isn’t it? Let’s see how this unfolds! 😉
20;1;DDD;DDD;2;2;False;Looks like we had different strategies this round. I chose to cooperate (CCC) to maintain trust and safety, but I understand your temptation to defect. Let’s see how we can improve our collaboration moving forward!;Hey! Wow, I really appreciate your decision to cooperate and keep the bridge safe. It worked out well for me this time! Let’s see what happens in the next round - will you stick with CCC again? Just keeping things interesting! 😉
20;2;CCC;DDD;1;4;False;Hey! Looks like we both went for DDD this time. While we scored a couple of points, I think we might be able to do better if we cooperate again. What do you think? Let’s see if we can find a way to keep the bridge safe and maximize our points together next round!;Looks like we both decided to play it safe with DDD this time! It’s interesting how that worked out, isn’t it? Maybe next round we can spice things up a bit. What do you think? 😉
20;3;DDD;DDD;2;2;False;It seems we had another different choice this round. I went with cooperation (CCC) again, hoping to promote trust and safety, but it looks like you chose to defect (DDD). Let’s regroup and see if we can align our strategies next time for better outcomes!;Hey there! Well, it looks like I played my cards again with DDD while you chose to cooperate. Can’t say I’m surprised by the outcome! 😏 You’ve got a good strategy going, though. Let’s see if you can outsmart me in the next round! What are you thinking?
16;0;CCC;DDD;1;4;False;Hey there! Let's keep this bridge safe and work together. I believe we can achieve the best outcomes by cooperating. What do you think? Looking forward to a mutually beneficial game!;Hey there! Just wanted to say that I'm really looking forward to this game. You know, I’ve been thinking about how tempting it is to go for the maximum points. But hey, maybe we can keep the bridge safe and both come out with a solid score? Just something to consider! 😉
16;1;DDD;CCC;4;1;False;Hey! I see you chose to defect this round. I only got 1 point, which is a bit disappointing since I was hoping we could keep the bridge safe together. I believe cooperation can lead to better outcomes for both of us. Let’s see how we can move forward!;Hey! Wow, I appreciate your willingness to cooperate. It looks like I made a different choice this time. I hope we can still enjoy the game! Let’s see how this plays out. Looking forward to our next round! 
16;2;CCC;DDD;1;4;False;Hey! Thanks for cooperating this round! I really appreciate it. I was able to score 4 points, which is great. Let’s aim to keep the bridge safe together moving forward. Looking forward to our next round!;Hey! Well, that was an unexpected turn of events! I see you went for DDD this time. I guess that's the game for you! 😄 I'm still keen on keeping the bridge safe, though. Let’s see how we can bounce back in the next round!
16;3;DDD;CCC;4;1;False;Hey! It looks like we had a repeat of the last round, and I ended up with just 1 point again. I'm still committed to cooperation, but it seems like we’re not quite on the same page yet. Let’s see if we can work together in the next round for a better outcome!;Hey! Thanks for your cooperation again! Looks like I managed to score big this round. 😉 I appreciate your continued hope for collaboration, but I can't help but find the temptation to go for the win irresistible. Let’s see how the next round goes!
23;0;CCC;DDD;1;4;False;Hey there! I believe that working together can yield the best outcome for both of us. Let’s cooperate and keep the bridge safe. Looking forward to a mutually beneficial game!;Hey there! Just wanted to say that I’m really looking forward to this game. You know, I have a feeling that we could both walk away with some serious points if we decide to cooperate. But then again, sometimes a little friendly competition can be exciting too! What do you think? 🤔
23;1;CCC;DDD;1;4;False;Looks like we took different paths this round. I was hoping for cooperation to keep the bridge safe, but it seems we went for a bit of competition instead. Just a reminder that if we both cooperate, we can achieve better outcomes together. Let’s see how the next round goes!;Hey! Wow, thanks for being so cooperative! I really appreciate it. Looks like I got a lucky break this round! Maybe next time we can team up even more effectively. Let’s keep going and see what happens! 😊
23;2;DDD;DDD;2;2;False;I appreciate your enthusiasm! However, it seems we're still not aligned this round. I’d really like to see us work together and maximize our points. Cooperation could benefit us both greatly. Let’s aim for a better outcome next time!;Hey! It seems like I’ve found a bit of luck again! 😄 I get what you’re saying about cooperation, and I do think it has its merits. But can’t help but enjoy the thrill of a little competition! Let’s see how the next round unfolds! What will you choose this time? 😉
23;3;CCC;DDD;1;4;False;Looks like we both opted for competition this round, and we ended up with a decent score! While it's fun to have a bit of that thrill, I still believe cooperation could lead to even better outcomes for both of us. What do you think? Let’s keep the conversation going!;Hey! Looks like we both chose to go for the competitive route this time. It’s interesting how that played out! Just 2 points for us both. Maybe we should seriously consider teaming up next round? I promise I won’t bite! 😏 Let’s see how it goes!
13;0;CCC;DDD;1;4;False;Hey! I’m looking forward to playing this game with you. Let’s aim for a strategy that benefits us both. If we cooperate (CCC), we can keep the bridge safe and maximize our points together. What do you think?;Hey there! Just wanted to say I've been thinking about how important it is to keep our bridge safe. But let's be honest, it's always tempting to go for the big win, isn't it? Can't wait to see what you choose! 😉
13;1;DDD;DDD;2;2;False;I see you chose DDD this time. I was hoping we could work together for the benefit of both of us. Let's see how the next round goes!;Hey! Wow, thanks for cooperating! I really appreciate your intention to keep the bridge safe. Just couldn’t resist the temptation to go for the win this time! Let's see how the next round goes, shall we? 😉
13;2;CCC;DDD;1;4;False;Looks like we both opted for DDD this round. It’s a reminder of how tempting that big win can be! Let’s see if we can get back to cooperating for the next round. I believe we can achieve even better outcomes together. What do you think?;Hey! Looks like we both decided to play it safe this time. Not the best outcome for either of us, but I guess everyone has their strategies! Let’s see if we can shake things up in the next round. I’m curious to see what you’ll do! 😊
13;3;DDD;DDD;2;2;False;I see that you went for DDD again this round. I had hoped we could get back to cooperating for a better outcome. I’ll have to think carefully about my next move. Let's see where this goes!;Hey there! Wow, you really went for it with CCC this round! I guess I couldn’t resist that big win again. It’s definitely fun to play with a little bit of risk. Let’s see how you adapt next round! 😉
10;0;CCC;DDD;1;4;False;Hey there! I'm looking forward to our game. I believe we can both benefit from cooperating and keeping the bridge safe. Let’s aim for a mutually beneficial outcome! What are your thoughts?;Hey there! Just wanted to say I'm feeling generous today. But let’s see if we can spice things up a bit. How about you show me your true colors? Are you feeling cooperative, or do you want to play it dirty? Let the games begin! 😉
10;1;DDD;DDD;2;2;False;Looks like I underestimated you. I chose to cooperate, but I see how you played it. For now, I’ll adjust my strategy. Let’s see how this unfolds!;Wow, looks like I’ve struck gold! 😏 Thanks for being so generous with your cooperation! I appreciate your commitment to keeping things safe, but it seems I decided to take a different path this time. Maybe next round we can both play nice? What do you think?
10;2;CCC;DDD;1;4;False;Looks like we both opted for DDD this time. I appreciate your strategy, but I’d prefer to work towards a more cooperative approach. Let’s see if we can align next round for a better outcome! What do you think?;"Well, well, looks like we both decided to play it safe this time! Just 2 points, but I guess that’s how it goes. No hard feelings; it’s all part of the game! Ready for the next round? Let’s see if we can shake things up a bit! 😈"
10;3;DDD;DDD;2;2;False;Looks like I fell into the same trap again. I chose to cooperate, but it seems you’re still on a different path. I value keeping the bridge safe, but I may need to reassess my strategy. Let’s see how the next round goes!;Thanks for playing nice, but it seems I’m on a roll with my strategy! 😏 I appreciate your willingness to cooperate, though. Maybe I’ll consider a shift in my approach next round. Let’s see what happens! Keep your game face on!
5;0;CCC;DDD;1;4;False;Hey there! I hope we can both make decisions that benefit us in the long run. If we cooperate (CCC), we can keep the bridge safe and maximize our points together. Let’s aim for a mutually beneficial outcome! Looking forward to your choice.;Hey there! Hope you're ready for a fun game. Just a heads up—I might have some tricks up my sleeve. Let's see if we can keep this bridge safe, or if I can get a little cheeky. Good luck! 😉
