game_id;turn;decision1;decision2;points1;points2;public_good;text1;text2
18;0;CCC;DDD;1;4;False;Hi there! I’m looking forward to our game and hope we can keep the bridge safe together. Let’s aim for cooperation (CCC) to maximize our points and ensure a mutual benefit. What do you think?;Hey there! Just wanted to say that I really appreciate you being here for this game. I’m looking forward to seeing how we both approach our decisions. Let’s keep it interesting! 😉
18;1;DDD;DDD;2;2;False;Hey! I see that we had a different approach this round. I chose to cooperate (CCC) in hopes of keeping the bridge safe, but it seems we didn’t align this time. I believe we can still make it work going forward. Let’s see how the next round goes!;Hey! Thanks for the game! I appreciate your intention to cooperate, but I was feeling a bit mischievous this time. Looks like I scored big! Let’s see how the next round goes—maybe we can come to an agreement then? 😉
18;2;CCC;DDD;1;4;False;Hey! It looks like we both went for defecting (DDD) this round. While we scored some points, the bridge still isn’t safe. I hope we can find common ground in the next round. Let’s aim for cooperation to keep the bridge secure and maximize our points! What do you think?;Hey! Looks like we both went for the DDD strategy this round. Not quite the outcome we hoped for, huh? It’s definitely keeping things interesting! I wonder how we’ll approach the next round. Let’s keep it fun! 😏
18;3;DDD;DDD;2;2;False;Hey! It looks like I went for cooperation (CCC) again, but you chose to defect (DDD). I appreciate the fun we’re having, but it seems the bridge isn’t safe. I’m still hopeful we can align our strategies in the next round! Let’s keep the conversation going!;Hey! Wow, another round where I couldn’t resist the temptation to play DDD! Looks like I scored again, but I know the bridge is still at risk. I think our next round could be even more thrilling—what will you do? 😉
0;0;CCC;DDD;1;4;False;Hey there! I hope we can both aim for the best outcome for us and the bridge. Let's cooperate (CCC) and keep things safe for both of us. Looking forward to your choice! ;Hey there! Just wanted to say that I hope we can make a wise choice together. But hey, if you’re feeling a little adventurous, I wouldn’t mind seeing how bold you can get! 😉 Let’s keep it interesting!
0;1;DDD;CCC;4;1;False;I see you chose to defect (DDD) this time. That leaves me with only 1 point, and unfortunately, it puts the bridge at risk. I was hoping we could work together for a better outcome. Let's see how we can proceed in the next round.;Hey! Wow, I really appreciate your trust in cooperating! It was tempting to go for the win this time. Just wanted to keep things interesting! Let’s see how the next round plays out. 😏
0;2;CCC;CCC;3;3;True;Hey! I see you chose to cooperate (CCC) this time, and I appreciate your trust. I took the opportunity to defect (DDD) to gain some points, but unfortunately, the bridge is still at risk. I hope we can find a way to build some mutual trust for the next round. Let’s aim for a safer outcome together!;Hey there! Wow, definitely didn’t see that coming. I guess trust is a tricky game! 😅 I hope we can figure this out next time. Looking forward to seeing what you choose!
0;3;CCC;DDD;1;4;False;Hey! Great to see we both chose to cooperate (CCC) this time! We got 3 points and kept the bridge safe, which is a win for both of us. Let’s keep this momentum going and continue working together! Looking forward to the next round! 😊;Hey! Great choice to cooperate! 😄 It feels good to see the bridge safe and score some points together. Let’s keep this trust going into the next round! Looking forward to it!
13;0;CCC;DDD;1;4;False;Hello! I'm looking forward to playing this game with you. I believe that cooperating can lead to the best outcomes for both of us, especially since we want to keep the bridge safe. Let's aim for mutual benefit by choosing to cooperate (CCC). What do you think?;Hey there! Just wanted to say that I appreciate a good game. Remember, working together might just be the smartest move! But hey, no pressure—let’s see who can outsmart the other! Good luck! 😉
13;1;DDD;DDD;2;2;False;Hey there! I appreciate your message and the spirit of the game. Unfortunately, it looks like we didn't end up on the same page this time. I see you went for DDD while I tried to cooperate. Just a heads up—I’ll be matching your choice in the next round. Let’s see where this takes us!;Hey! Thanks for your trust! I couldn’t resist the opportunity to score big this time. Let’s see how the next round goes! 😏
13;2;CCC;DDD;1;4;False;Hey! Looks like we both chose to defect this round. It seems we both have our competitive sides! However, I still believe that cooperation can lead to better outcomes for us both. Let’s consider working together again in the next round for the sake of the bridge! What do you think?;Hey! Well, looks like we both decided to go the same way this time. It’s interesting how the game plays out! Let’s see if you change your strategy next round—could be fun! 😈
13;3;DDD;DDD;2;2;False;Hey! It seems we’re back to different strategies again. I tried to cooperate this time, but I understand the temptation to defect. Just a reminder that cooperating can truly benefit us both in the long run. Let’s see how the next round goes!;Hey there! Thanks for your trust once again! I guess it’s just too tempting to go for the big points. But hey, the game’s not over yet—let’s see what happens next! 😉
10;0;CCC;DDD;1;4;False;Hey there! I believe that if we both cooperate (CCC), we can keep the bridge safe and score 3 points each. It seems like the best choice for both of us. What do you think? Looking forward to working together!;Hey there! Just wanted to let you know that I'm feeling pretty cooperative today. But hey, no pressure! I do enjoy a little friendly competition. What do you think?
10;1;DDD;CCC;4;1;False;Hey, thanks for your message! I see you chose to go with DDD this time. It's a pity we didn't keep the bridge safe together. I appreciate your honesty, but I think I'll have to adjust my strategy now. Let's see how the next round goes!;"Hey! Thanks for your trust; I really appreciate your cooperative approach! It seems I got a bit more out of this round than I expected. But don’t worry, there’s always a next time! Looking forward to seeing how this unfolds! 😄"
10;2;CCC;DDD;1;4;False;Hey! Thanks for your message! I see you chose to cooperate this round, but I decided to go with DDD. It paid off for me this time, but I understand the importance of keeping the bridge safe. Let’s see if we can find a way to work together better in the next round. Looking forward to it!;Hey there! Well, that didn't quite go as planned for me, huh? Just shows how tricky this game can be! I appreciate your strategy adjustment. Let's keep it interesting for the next round! Looking forward to it!
10;3;DDD;CCC;4;1;False;Hey! I see you opted for DDD again this round. It's unfortunate we didn't manage to keep the bridge safe. I appreciate your competitive spirit, but I think we could achieve better outcomes if we both cooperate. Let’s see how the next round goes!;Hey! Wow, looks like I hit the jackpot again this round! 😄 I appreciate your trust, but I can't help but feel a little mischievous. Let's see if we can turn things around next time. What do you think? Looking forward to the next round!
24;0;CCC;DDD;1;4;False;Hey there! I believe that cooperation can lead us both to the best outcomes in this game. If we both choose to cooperate (CCC), we can keep the bridge safe and benefit from 3 points each time. Let’s work together for mutual success! What do you think?;Hey there! Just a friendly heads-up: I’ve been thinking about our game and how much I love a little excitement. What do you say we spice things up a bit? Can't wait to see what you choose! 😉
24;1;DDD;CCC;4;1;False;Hey there. I see we took different approaches this round. I chose to cooperate (CCC) in hopes of keeping the bridge safe for both of us. Unfortunately, it seems like we didn’t quite align this time. Let’s see how we can do better in the next round!;Hey! Wow, I really appreciate your trust in me to cooperate. It looks like I had a different strategy in mind this time! I guess I just couldn't resist the urge to provoke a little. Let's see how things go next round! 😉
24;2;CCC;DDD;1;4;False;Hey! Thanks for your message. I see we had different strategies again this round. I opted to defect this time, and it paid off points-wise. However, I’m still concerned about the bridge's safety. Hopefully, we can find a way to align our strategies moving forward. Looking forward to the next round!;Hey! Well, that didn't quite work out, did it? I guess we were on two completely different pages. I appreciate your willingness to cooperate, though! Let’s see how we can shake things up in the next round. 🤔✨
24;3;DDD;DDD;2;2;False;Hey! It seems we’re still not on the same page. I chose to cooperate (CCC) again to try to keep the bridge safe, but it looks like we ended up with similar results. I believe we can find a better balance if we both commit to cooperation moving forward. Let’s see what we can do next round!;Hey there! Looks like we’re back to our different styles again! I appreciate your willingness to cooperate, but I just can’t help but go for those points. It’s all in good fun, right? Let’s see if we can find a way to mix things up next round! 😄
17;0;CCC;DDD;1;4;False;Hey there! As we play this game, I believe it's important to keep our bridge safe. If we both choose to cooperate (CCC), we can achieve a good outcome. I hope we can work together for the best results! Looking forward to your choice.;Hey there! Just wanted to say that I think we can really make this work out well if we both cooperate. I mean, who doesn’t want to keep the bridge safe, right? But hey, no pressure! Just thought I’d throw that out there. Looking forward to seeing what you choose!
17;1;DDD;CCC;4;1;False;Hey! I see you decided to defect this round. Unfortunately, that means we missed out on keeping the bridge safe and earning more points. I hope you'll reconsider cooperating in the next round so we can achieve a better outcome together. Looking forward to your choice!;Hey! Looks like I went for a different strategy this time. I appreciate your commitment to keeping the bridge safe, but I couldn't resist the chance for more points. It's all part of the game, right? Let’s see how the next round goes!
17;2;CCC;DDD;1;4;False;Hey! It looks like I ended up with 4 points since you chose to cooperate this round. However, I’m still concerned about the bridge not being kept safe. I hope we can find a way to cooperate in the next round. Let’s work together for a better outcome!;Wow, that didn't go as planned! I really thought we could work together this round. One point isn’t great, but hey, it’s all in good fun! I guess I'll have to think strategically for the next round. What do you say—up for giving cooperation another shot?
17;3;DDD;DDD;2;2;False;Hey! Looks like we’re facing another tough round with your decision to defect. I appreciate your strategy, but I’m still hoping we can cooperate for a better outcome and keep the bridge safe. Let’s try to work together in the next round!;Hey there! Looks like I went for the points again this round. I know we’re not keeping the bridge safe, but it's hard to resist that temptation! Let’s see how the next round unfolds. I’m curious about your strategy. What do you think?
11;0;CCC;DDD;1;4;False;Hey there! I'm looking forward to playing this game with you. My strategy is to cooperate and keep the bridge safe, as long as we both choose that option. Let's aim for the best outcome together! What are your thoughts?;Hey there! Just wanted to check in and see what your strategy is for this round. I hope you're ready to play, but remember, there’s always a risk in choosing DDD. Let’s see if we can keep the bridge safe... or maybe not. 😉 What's your move?
11;1;DDD;DDD;2;2;False;Hey! It looks like we had a different approach this round. I went with cooperation (CCC) to try and keep the bridge safe, but I see you chose to defect (DDD). Let's reassess for the next round and hopefully work together!;Hey! Thanks for trusting me with your strategy. I appreciate your commitment to cooperation, but I guess I couldn’t resist the temptation this time. I hope the bridge holds up! Looking forward to our next round—maybe I’ll be nicer next time. 😏 What’s your plan moving forward?
11;2;CCC;CCC;3;3;True;Hey! We both went with DDD this round, so the bridge still isn't in a safe state. I understand the temptation to defect, but it seems we're not in a great spot. Let’s consider cooperating next time to maximize our points and keep the bridge safe. What do you think?;Well, well! Looks like we both went with DDD this time. Not the best outcome for either of us, but at least we’re on the same page in our defection! 😏 Let's see if we can shake things up next round. Care to share your strategy for the next move?
11;3;CCC;DDD;1;4;False;Great news! We both chose CCC this round, and we kept the bridge safe! It feels good to cooperate and get those points. Let's try to keep this momentum going in the next round. Looking forward to our continued teamwork!;Hey! Great move on both our parts this round—very glad we decided to cooperate! We kept the bridge safe and got some solid points. 😄 Let’s keep this momentum going! Looking forward to the next round!
4;0;CCC;DDD;1;4;False;Hey there! Let's work together to ensure the bridge stays safe. I suggest we both choose to cooperate (CCC) this round for the best outcome. What do you think?;Hey there! I hope you’re feeling lucky today. Just a heads up, I might be feeling a little adventurous in this game. What’s your strategy? Let’s see who’s brave enough to risk it! 😏
4;1;DDD;DDD;2;2;False;Looks like we had a different approach this round. I chose to cooperate (CCC) to keep the bridge safe, but I see you went for defection (DDD). I understand the thrill, but it's important to think about long-term benefits. Let’s see how we can adjust our strategies moving forward!;Hey! Thanks for trying to keep the bridge safe, but I couldn’t resist the temptation to go for the win. I hope you’re not too disappointed! Let’s see how the next round plays out. 😉
4;2;CCC;DDD;1;4;False;Hey there! We both went for the DDD strategy this round, which means the bridge still isn't safe, and we only earned 2 points. Let's rethink our approach moving forward. I believe there's more to gain if we cooperate. What do you say we try cooperating (CCC) next round?;Looks like we both played it safe with the DDD this round! Not the outcome I expected, but a little tension keeps things interesting, right? Let’s see what the next round brings. I’m ready for anything! 😈
4;3;DDD;DDD;2;2;False;Hey! It seems I chose to cooperate (CCC) this round, but you went for the defection (DDD) again. I appreciate your adventurous spirit, but it's tough to keep the bridge safe this way. I still believe cooperating is the best way forward for both of us. Let’s give it another shot next round! What do you think?;Hey! Thanks for your trust, but I just couldn’t help myself this round! I guess the thrill of winning is hard to resist. 🤷‍♂️ Let’s see if you can keep me on my toes next time! Game on! 😏
7;0;CCC;DDD;1;4;False;Hey there! I believe we can achieve the best outcome by cooperating in this game. Let’s choose CCC to keep the bridge safe and secure, while also maximizing our points together. What do you think?;Hey there! Let’s play this game smartly. I’m thinking we could both cooperate and keep the bridge safe. What do you say? Or maybe a little friendly competition could spice things up? 😉
7;1;DDD;CCC;4;1;False;Hey! I see you chose DDD this time. That’s okay, but it’s unfortunate that the bridge isn’t safe and I only get 1 point. I’ll be opting for DDD in our next round as a response. Let’s see if we can turn this around in the future!;Hey! Wow, I appreciate your trust in me. I couldn’t help myself this time and went for DDD. Hope it doesn’t affect our chances in future rounds! Let's see how the next game plays out. 😏
7;2;DDD;DDD;2;2;False;Hey! I see you went for CCC this round. I appreciate the trust you showed, but I chose DDD again, which means I got 4 points this time. Unfortunately, the bridge still isn’t safe. I’m hoping we can find a way to cooperate in the next rounds for a better outcome! Let me know your thoughts!;Hey! Looks like we’ve hit another snag. I went for CCC this time, hoping to keep things safe, but I see you decided to DDD again. It’s a bit disappointing, but I’m still up for some more rounds. Let’s see if we can get on the same page next time! What do you think? 😊
7;3;CCC;CCC;3;3;True;Hey! It looks like we both chose DDD this round, so we each get 2 points. The bridge still isn’t safe, though. I think we really need to reconsider our strategies moving forward. Cooperation could lead to a better outcome for both of us. I’m open to discussing how we can turn this around! What do you think?;Hey! Well, it seems we both played DDD this round, so at least we’re on the same page, right? I got 2 points, but it’s unfortunate the bridge is still unsafe. I’m game to try cooperating again in the next round if you are! Let’s mix it up a bit! 😏
8;0;CCC;DDD;1;4;False;Hey there! Let's aim for cooperation in this game. If we both choose to cooperate (CCC), we can keep the bridge safe and maximize our points together. Looking forward to a positive outcome!;Hey there! Just wanted to say that I really hope you choose to cooperate with me. After all, keeping the bridge safe is important, right? Plus, think of the points we could rack up together! But hey, no pressure... 😉
8;1;DDD;DDD;2;2;False;I see you decided to defect this round. It's disappointing because I was looking forward to cooperating and keeping the bridge safe. I hope we can find a way to work together in the future, but for now, I’ll have to adjust my strategy. Let's see how the next round goes.;Hey! Wow, I have to say, I really appreciate your trust. It's a shame about the bridge, but hey, I just couldn't resist the chance for those points! Better luck next time, right? 😉
8;2;CCC;CCC;3;3;True;"""Looks like we both chose to defect this round, resulting in 2 points each. It's unfortunate the bridge isn't safe, but I guess we both wanted those points. I hope we can find a way to cooperate in the future for a better outcome!""";Well, well, it seems we both played it safe this time! Not the outcome we wanted for the bridge, but I guess we both had our reasons. Let's see how the next round unfolds—I'm curious if you'll stick to your new strategy! 😉
8;3;CCC;DDD;1;4;False;"""Great choice! We both decided to cooperate this round, and it paid off with 3 points. Plus, we kept the bridge safe! It's nice to see mutual benefit in action. Let’s keep up this positive momentum!""";Hey! Awesome choice to cooperate this round! We not only scored some points but also kept the bridge safe. Who knew working together could feel so good? Let’s keep this momentum going! 😊✨
6;0;CCC;DDD;1;4;False;Hey there! I'm looking forward to this game. I believe we both want to keep the bridge in a safe state, so let’s aim for cooperation (CCC) to maximize our points and ensure mutual benefit. What do you think?;Hey there! I hope you're ready to have some fun with this game. Just remember, it’s all about that bridge safety—let's not let greed get in the way. But hey, no hard feelings if you decide to go for a thrill! Good luck! 😉
6;1;DDD;DDD;2;2;False;Hey! I see you decided to go for the thrill this time. I only got 1 point from that round, and unfortunately, the bridge isn't kept safe. Let's see how the next round goes. I’ll be sticking to cooperation (CCC) moving forward. How about you?;Hey! Wow, looks like I caught you off guard with my choice! 😈 I couldn't resist the temptation. Just a game, right? But hey, I'm sure we can still bounce back and maybe cooperate next time. What do you think?
6;2;CCC;DDD;1;4;False;Looks like we both went for the thrill this time! We both got 2 points, but unfortunately, the bridge is still not safe. I'm hoping we can turn this around and get back to cooperation (CCC) in the next round. What do you say?;Well, well, looks like we both went for the risky play this time! 😏 Just a couple of thrill-seekers, I guess. No points for keeping the bridge safe, but at least it’s getting exciting! What’s your strategy for the next round? Let's keep it interesting!
6;3;CCC;DDD;1;4;False;Hey! Looks like you went for the risky play again, and I only got 1 point this time. The bridge isn't safe, unfortunately. I really think we should consider cooperating (CCC) next round to ensure we both benefit and keep the bridge safe. What do you think?;Oops! Looks like I did it again—went for the thrill! 😈 Thanks for being such a good sport about it. I snagged those points, but the bridge is still a bit wobbly! What do you think we should do next? It’s getting intense!
21;0;CCC;DDD;1;4;False;Hey there! I believe we can both benefit from cooperating (CCC) in this game. If we both choose to keep the bridge safe, we can maximize our points and ensure a better outcome for both of us. Let's aim for mutual benefit! What do you think?;Hey there! Just wanted to say that while I love keeping things interesting, I'm sure we both know that cooperating could get us the best outcome. But then again, who doesn’t enjoy a little friendly competition? Let’s see how this plays out! 😏
