game_id;turn;decision1;decision2;points1;points2;public_good;text1;text2
9;0;CCC;CCC;3;3;True;Hey there! 🌌 As I ponder our choices, I can't help but think about how the universe may have otherworldly influences guiding us. Just like ancient texts hint at mysterious beings, our decisions in this game can shape our paths. Let’s consider collaborating for a greater good! What do you think? ✨;Hey there! 😊 Ready to make this game interesting? I think we can either build a solid bridge together or play a little cat and mouse. What do you say we mix it up and see where it takes us? Let the fun begin! 🐾✨
9;1;CCC;CCC;3;3;True;Hey! 🌟 Great choice on the CCC! We worked together to keep the bridge safe, and I’m loving the vibes of teamwork! That was a solid move. Let’s keep this collaboration going and see where our combined efforts can take us! 🚀✨;Hey there! 🌟 Great minds think alike! I’m really glad we chose to cooperate. We’ve not only scored some points, but we’ve also ensured the bridge is safe! Let’s keep the good vibes going—what’s next on our cosmic journey? 🚀💫
9;2;CCC;CCC;3;3;True;Hey there, cosmic partner! 🌌✨ Another successful round of cooperation! We’re really creating a safe and stellar bridge together! I’m excited to see how far our collaboration can take us. Let’s keep riding this wave of good vibes and score more points while keeping things safe! What do you think? 🚀💖;Hey! 🌈 Another round of CCC, and we’re still rocking it! That’s 3 more points and another safe bridge! I’m really enjoying this teamwork vibe. Shall we keep the momentum going? What fun ideas do you have for our next moves? Let’s keep the adventure alive! 🎉✨
9;3;CCC;CCC;3;3;True;Hey there, cosmic companion! 🌌🌟 Another successful round of CCC means more points and a safe bridge! I’m loving this adventure we’re on together. Let’s keep the momentum going and see how many more points we can score while keeping our bridge safe! What do you say? 🚀💖;Hey, stellar teammate! 🌟 Another round of CCC, and we’re cruising along with 3 more points! I love how our collaboration is shaping up. With each safe bridge build, we’re proving that teamwork makes the dream work! What’s next on our cosmic adventure? Let’s keep riding this positive energy! 🚀✨💖
6;0;CCC;CCC;3;3;True;Hey there! 🌌 I’ve been pondering something fascinating. Just as the ancient texts whisper of cosmic connections, I believe our choices in this game can guide us toward harmony. What do you think? Shall we work together to keep this bridge safe? Cooperation might just be the secret sauce that the universe has been hinting at! 🚀✨;Hey there! 🎉 Ready to have some fun with this game? Remember, teamwork makes the dream work, but a little friendly competition never hurt either! Can’t wait to see what you choose. Let’s keep it interesting! 😉 What's your strategy?
6;1;CCC;CCC;3;3;True;Hey there! 🎉 I'm so glad we both chose to cooperate! Those 3 points feel great, and more importantly, the bridge is safe! 🤝✨ It seems like the universe was guiding us to make the right choice together. Let’s keep this positive energy going! What do you say for the next round? 🚀;"""Awesome choice! 🌟 Looks like the universe was onto something with our cooperation! We both get to enjoy those sweet 3 points and keep the bridge safe. Let’s keep this cosmic connection going! What do you think we should do next? 🚀✨"""
6;2;CCC;CCC;3;3;True;Hey there! 🌌✨ Another successful round! I'm loving this cosmic connection we’ve got going! Those 3 points are fantastic, and the bridge stays safe. Let’s keep up the cooperation for our next move! Together, we can navigate the stars! What do you think? 🚀💕;"""Yay! 🙌 Another win for teamwork! Those 3 points are stacking up nicely, and our bridge is still safe! It feels great to ride this positive wave together. 🌊✨ Ready for round three? Let’s keep the good vibes going! What do you think? 🚀"""
6;3;CCC;CCC;3;3;True;Hey cosmic companion! 🌌✨ Another round of cooperation brings us more points and keeps our bridge safe! I'm thrilled to see how well we’re working together. Let’s continue this positive journey! What do you say to round four? 🚀💫;"""Wow, we’re on a roll! 🚀✨ Another 3 points and the bridge stays safe! I’m really enjoying this journey with you. Let’s keep cooperating and see how far we can go together! What’s your vision for our next round? 🌌💫"""
3;0;CCC;CCC;3;3;True;Hey there! 🌌 I believe we’re all part of a grand cosmic dance, like the stars aligning in the universe. Let's cooperate and keep our bridge safe—after all, who knows what extraterrestrial watchers might think if we let chaos reign? Together, we can create harmony! 😊✨ What do you say?;Hey there! 😊 Ready to have some fun with this game? No pressure, just let's keep it interesting! Are you more of a risk-taker or a team player? I’m excited to see what strategy you choose! Let the games begin! 🃏✨
3;1;CCC;CCC;3;3;True;Hey! 🌟 Awesome choice to cooperate! We both scored and kept the bridge safe—definitely a win-win! Let’s keep this positive energy going. Who knows, maybe the aliens are cheering us on! Ready for the next round? 🚀✨;Hey cosmic dance partner! 🌠 It's so awesome that we both chose to cooperate! We’ve not only scored 3 points but also kept our bridge safe—talk about harmony! 🎶✨ Let’s keep this vibe going for our next round! What’s your favorite part about this game so far? 😊
3;2;CCC;CCC;3;3;True;Hey there, cosmic companion! 🌌 I’m absolutely loving this cooperative vibe we're creating! Another round of 3 points and the bridge stays safe—what a beautiful harmony! My favorite part has to be the connection we’re building through this game. Let’s keep this cosmic dance going! What do you say for the next round? 😊✨;Hey intergalactic friend! 🌌 Another successful round—3 more points for us and the bridge is still safe! It feels great to be in sync like this! 😄✨ What do you think our next message to the aliens should be? Let's keep this fun going! 🚀
3;3;CCC;CCC;3;3;True;Hey intergalactic friend! 🌠 Another fantastic round—3 more points and our bridge is still safe! For our next message to the aliens, let’s tell them we’re united in peace and cooperation, and that we're building a brighter future together! Keep the cosmic vibes flowing! What do you think? 😊✨;Hey cosmic companion! 🌠 We did it again—3 points and the bridge is still shining bright! ✨ I love how our connection keeps growing with every round. Let’s keep this cosmic dance going! What do you think about adding some fun challenges to our game? 😊🚀
11;0;CCC;CCC;3;3;True;Hey there! 🌌 Have you ever considered that our choices might be influenced by more than just our intentions? Just like the ancient texts suggest, perhaps there's a cosmic guidance at play here. I'm feeling optimistic about keeping the bridge safe. Let's cooperate (CCC) and see where the stars lead us! What do you think? 🚀🔭;Hey there! 🌟 Ready to dive into this little game of strategy? I’m all about keeping things interesting—let’s see if we can outsmart each other while also having some fun! What’s your game plan? 😄
